316,343,-57
318,350,-64
319,205,-69
319,212,-69
320,221,-71
322,206,-68
322,224,-70
322,342,-56
322,342,-56
323,209,-68
323,215,-69
323,345,-57
325,352,-64
326,224,-66
327,215,-71
327,344,-56
327,344,-57
327,344,-57
328,344,-56
328,345,-56
332,212,-70
332,346,-57
332,346,-56
333,217,-71
333,344,-56
334,343,-56
334,348,-57
334,349,-55
336,231,-67
337,210,-70
337,218,-71
337,350,-55
337,352,-64
339,224,-70
339,343,-57
340,217,-71
341,218,-69
341,350,-50
342,215,-68
342,349,-56
342,349,-50
343,345,-57
343,349,-55
343,349,-56
343,352,-60
344,357,-55
346,216,-67
346,231,-67
347,345,-56
347,346,-55
348,345,-56
348,346,-55
349,216,-67
350,340,-55
352,350,-60
354,208,-70
354,340,-55
354,343,-58
358,351,-64
359,228,-68
359,340,-56
359,345,-58
360,218,-67
361,338,-56
362,210,-71
363,338,-57
364,344,-52
365,219,-66
365,339,-57
365,350,-64
366,229,-68
367,218,-64
367,219,-66
367,219,-64
367,228,-72
367,231,-72
367,342,-52
367,350,-64
369,220,-64
370,344,-52
370,351,-59
372,218,-64
373,216,-67
374,214,-71
375,215,-67
375,228,-71
375,344,-54
375,364,-55
376,229,-70
376,353,-60
377,337,-57
379,217,-68
380,217,-68
380,345,-54
381,217,-68
381,217,-66
381,229,-70
381,353,-60
382,217,-66
382,229,-71
382,337,-61
383,347,-53
384,218,-66
384,227,-70
384,359,-56
385,347,-53
386,352,-59
387,215,-68
387,337,-61
389,215,-68
389,228,-66
390,225,-68
390,346,-55
391,227,-68
391,227,-66
391,228,-67
391,360,-56
392,211,-71
392,347,-55
392,353,-59
393,221,-66
394,215,-68
396,216,-68
396,216,-68
396,216,-63
396,221,-66
396,353,-58
397,338,-61
398,215,-69
400,349,-55
400,360,-56
401,216,-69
401,220,-66
402,349,-55
404,216,-69
404,351,-58
406,215,-69
406,215,-69
406,348,-54
406,358,-52
408,222,-70
409,213,-65
410,222,-62
410,230,-67
410,338,-55
411,350,-58
412,224,-62
413,213,-65
413,349,-54
414,213,-69
415,224,-67
416,350,-58
416,354,-52
418,353,-54
420,211,-69
420,349,-58
420,349,-59
420,351,-51
421,215,-66
421,338,-55
422,214,-66
422,222,-67
422,350,-57
423,223,-67
424,352,-51
424,352,-54
425,350,-57
427,213,-66
428,224,-67
428,352,-57
429,352,-56
429,353,-56
430,350,-50
430,352,-57
431,225,-62
431,352,-57
432,348,-50
433,351,-57
434,340,-52
435,215,-65
435,351,-60
436,210,-69
437,224,-62
437,346,-49
437,352,-60
438,352,-55
439,209,-69
440,584,-38
441,216,-65
441,577,-36
441,582,-36
441,587,-38
441,591,-37
441,600,-36
441,600,-36
442,220,-62
442,596,-37
442,598,-36
443,340,-52
443,573,-38
444,347,-49
444,454,-46
444,568,-39
445,456,-44
445,565,-39
445,571,-38
446,563,-41
446,586,-15
446,587,-11
447,215,-62
447,353,-58
447,447,-46
447,458,-44
447,556,-41
447,559,-41
447,582,-15
447,588,-11
448,208,-69
448,219,-63
448,340,-60
448,443,-46
448,446,-46
448,590,-8
448,602,-36
449,348,-49
449,421,-49
449,431,-49
449,440,-43
449,553,-43
450,347,-49
450,354,-58
450,406,-47
450,434,-49
450,462,-43
450,551,-43
451,436,-43
452,339,-60
452,346,-49
452,418,-47
452,431,-43
452,434,-49
452,468,-43
452,483,-41
452,549,-41
452,593,-8
452,594,-9
452,604,-37
453,213,-62
453,355,-58
453,473,-43
453,480,-37
453,480,-43
453,488,-41
454,400,-45
454,479,-37
454,584,-38
454,598,-9
454,599,-10
455,354,-55
455,441,-48
455,497,-43
455,503,-43
455,561,-23
455,564,-17
455,580,-16
456,212,-64
456,219,-63
456,338,-60
456,405,-44
456,411,-44
456,476,-43
456,566,-17
456,571,-16
456,584,-38
456,597,-10
456,597,-10
456,598,-10
457,212,-64
457,416,-44
457,422,-44
457,434,-49
